Code,Categorie,Nom fédération,Nom catégorie
"club261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"club263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"club264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"club265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"club266",2,"Fédération de force","Fédération unisport non olympique"
"club267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"club401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"club402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"club403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"club404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"club405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"club406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"club407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"club408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"club409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"club410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
"club411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"club413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"club414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"club415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"club417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"club418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"club420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"club421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"club501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"club503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"club601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"club602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"club603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"club604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"club605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
